sample_id,scenario,invite,opt_in,text_reply,reaction,state_share,proactive_update,routine_maintenance,pass_event,resume_signal,tone_warmth,response_delay_min
1,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.5575037874816452,50.00003756819565
2,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.7145754123860488,152.96155507025844
3,cozy-normal-year,1,1,1,1,1,1,0,0,0,0.5322063970017576,42.27968770928596
4,cozy-normal-year,1,1,1,0,1,1,1,0,0,0.7812827487595877,49.17278975970207
5,cozy-normal-year,1,0,1,1,0,1,0,0,0,0.6270741739012241,51.159334221403185
6,cozy-normal-year,0,0,1,1,0,1,0,0,0,0.6122593381536662,27.593986927722455
7,cozy-normal-year,0,0,1,1,1,1,0,0,0,0.5558609055626139,27.32680098207773
8,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6754842021429379,37.000257392655506
9,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.5432859981171466,16.118004588264274
10,cozy-normal-year,0,0,1,1,0,1,0,0,0,0.5991030041119269,28.35152635334088
11,cozy-normal-year,1,0,1,1,1,0,0,0,1,0.6639194184132625,59.93619609677912
12,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.64935094185758,19.910426736591297
13,cozy-normal-year,1,1,1,0,1,1,1,0,1,0.5220267040796283,30.641151743970553
14,cozy-normal-year,1,1,1,1,1,0,1,0,0,0.5900936367168755,60.73405061115269
15,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.6001543130815461,176.7525842933956
16,cozy-normal-year,1,1,1,0,0,0,1,0,1,0.5228412920869104,160.43219297306572
17,cozy-normal-year,1,1,1,1,0,0,0,0,0,0.5826485659097951,80.86406454106161
18,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.638225781439272,31.68563351641926
19,cozy-normal-year,1,1,1,0,0,1,1,0,1,0.6017320523832552,182.92536293695304
20,cozy-normal-year,1,0,0,1,0,1,0,0,0,0.6621187203411648,
21,cozy-normal-year,1,1,1,0,0,0,1,0,1,0.7571443380738901,24.029054142805606
22,cozy-normal-year,1,1,1,0,1,1,1,0,0,0.5773705910653009,37.293614035689274
23,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.6528645669843155,40.3167652164845
24,cozy-normal-year,1,1,1,1,1,1,1,0,0,0.5290373887978791,21.711226772781202
25,cozy-normal-year,1,1,1,0,1,1,1,0,1,0.571309133006213,23.577856118440963
26,cozy-normal-year,1,1,1,1,0,0,0,0,0,0.6396849213206891,30.5086606634543
27,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.6708190778463073,31.587795245212448
28,cozy-normal-year,0,0,1,1,1,0,0,0,0,0.505327629267849,49.33758161294147
29,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.6263713850533115,79.38889201864828
30,cozy-normal-year,1,0,0,1,0,0,0,0,1,0.6727576457391675,
31,cozy-normal-year,1,0,1,1,0,1,0,0,0,0.6086409740601282,24.952659124647404
32,cozy-normal-year,0,0,1,1,0,0,0,0,0,0.5460907836559638,139.62849101089228
33,cozy-normal-year,1,0,1,0,0,0,0,0,0,0.4184848406530098,120.06467920683748
34,cozy-normal-year,1,0,0,1,0,0,0,0,0,0.6820189278026578,
35,cozy-normal-year,1,1,1,1,1,0,1,0,0,0.7859750486904099,49.00070348240761
36,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.5625192852468069,58.28391863392112
37,cozy-normal-year,1,1,1,0,1,0,1,0,0,0.6127608902866327,58.257471066979534
38,cozy-normal-year,1,0,0,0,1,0,0,0,0,0.6591536058200123,
39,cozy-normal-year,1,0,1,0,0,0,0,0,0,0.6231321524450462,117.47319842429512
40,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.629681796195777,37.459208404673575
41,cozy-normal-year,1,0,0,1,1,0,0,0,0,0.7104532558728645,
42,cozy-normal-year,1,0,1,1,1,1,0,0,0,0.6738792787307467,29.144842081119382
43,cozy-normal-year,1,0,0,0,1,1,0,0,0,0.5881669639628536,
44,cozy-normal-year,0,0,1,0,0,1,0,0,0,0.5937679969654682,19.947621337821847
45,cozy-normal-year,1,1,1,0,0,1,1,0,0,0.6558432931500822,32.92053637452378
46,cozy-normal-year,0,0,0,1,0,1,0,0,0,0.5054832853971288,
47,cozy-normal-year,1,1,1,1,0,1,0,0,1,0.6338419215484561,50.44317500741744
48,cozy-normal-year,0,0,1,1,0,1,0,0,0,0.6434112726881556,28.371862200719423
49,cozy-normal-year,1,0,1,1,0,1,0,0,0,0.6568311929043777,18.19901097474702
50,cozy-normal-year,1,1,1,1,0,0,0,0,1,0.614715136986758,22.61426905809294
51,cozy-normal-year,1,0,0,0,0,0,0,0,0,0.6372213643250149,
52,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.6495701716400111,26.045182493535627
53,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6438120980396908,20.441597870185525
54,cozy-normal-year,0,0,1,1,0,1,0,0,0,0.7279216399156317,28.293227928544063
55,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6059275561531717,35.720407382852386
56,cozy-normal-year,1,1,1,0,1,0,1,0,0,0.5578869864801402,27.390004774852887
57,cozy-normal-year,1,0,1,1,0,0,0,0,0,0.6407781091989159,29.893714549507738
58,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6310393628544085,35.38395575916003
59,cozy-normal-year,0,0,0,0,1,1,0,0,0,0.7084843252076027,
60,cozy-normal-year,1,1,1,1,1,0,1,0,0,0.6242538525598745,172.12211283873353
61,cozy-normal-year,0,0,1,1,0,1,0,0,0,0.49479103315255757,183.3537500058424
62,cozy-normal-year,1,0,1,1,0,1,0,0,0,0.5256328902010222,24.04902174274678
63,cozy-normal-year,1,0,1,1,0,1,0,0,0,0.6597934757676747,47.16064144013147
64,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.559343768096847,18.68933913508666
65,cozy-normal-year,1,1,1,1,0,0,0,0,0,0.5634936523710382,35.396574561271024
66,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.5105707010399696,25.025644813693916
67,cozy-normal-year,0,0,0,0,1,0,0,0,0,0.6344315253624072,
68,cozy-normal-year,0,0,0,1,0,0,0,0,0,0.5047062790051952,
69,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.6388908853341118,118.1587449195978
70,cozy-normal-year,1,1,1,1,1,0,1,0,0,0.562273563300872,62.59628778215954
71,cozy-normal-year,1,0,1,1,1,1,0,0,0,0.6364371629622685,21.42710566680554
72,cozy-normal-year,1,1,1,1,0,0,1,0,1,0.7488515229830204,27.218319154229114
73,cozy-normal-year,1,1,1,0,1,0,1,0,0,0.5832397231260964,26.601755806758927
74,cozy-normal-year,1,1,1,1,1,0,1,0,0,0.5357104139003295,56.607792425099056
75,cozy-normal-year,0,0,1,0,0,1,0,0,0,0.477202295073371,52.483016018771565
76,cozy-normal-year,1,1,1,0,0,0,0,0,0,0.6244436504565121,13.226673297212477
77,cozy-normal-year,1,1,1,0,0,1,1,0,1,0.5000910020989734,72.70109153714772
78,cozy-normal-year,1,1,1,1,1,0,1,0,0,0.6322621044668687,47.59288374118121
79,cozy-normal-year,0,0,1,1,0,0,0,0,0,0.633531433830405,149.28581237081912
80,cozy-normal-year,0,0,1,0,0,1,0,0,0,0.6072803450905321,62.37539380785635
81,cozy-normal-year,1,0,0,1,1,0,0,0,0,0.5965811745478109,
82,cozy-normal-year,1,1,1,0,1,0,0,0,0,0.7246477378496985,17.111390283471806
83,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6130123378209534,36.82112593348605
84,cozy-normal-year,1,1,1,1,1,0,1,0,0,0.6446535132829321,16.62028168291584
85,cozy-normal-year,1,1,1,0,0,1,1,0,0,0.6028494437426201,14.703962569217426
86,cozy-normal-year,1,0,0,1,0,0,0,0,0,0.5915811307121466,
87,cozy-normal-year,0,0,1,0,0,0,0,0,0,0.6922287956721311,38.89610617290194
88,cozy-normal-year,1,1,1,1,0,0,1,0,1,0.7183956524081462,11.580003453092813
89,cozy-normal-year,1,1,1,0,0,0,0,0,1,0.4610392280306497,34.588608930861305
90,cozy-normal-year,1,1,1,0,1,0,0,0,0,0.5816969488068989,13.982708327714665
91,cozy-normal-year,1,1,1,1,0,0,0,0,0,0.6067929582385219,30.141905086171935
92,cozy-normal-year,1,1,1,1,0,1,1,0,1,0.7716802155291949,35.27753358062174
93,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.5360459178987433,38.97325214604499
94,cozy-normal-year,1,1,1,1,1,1,1,0,0,0.705427424278768,37.37083403894651
95,cozy-normal-year,1,1,1,1,1,1,1,0,0,0.6585952222149676,281.23477295037264
96,cozy-normal-year,1,1,1,1,1,0,0,0,0,0.6927790069628276,109.98498818738913
97,cozy-normal-year,0,0,0,0,0,0,0,0,0,0.6872628058042655,
98,cozy-normal-year,0,0,1,0,0,0,0,0,0,0.6957726514857757,98.66434088982254
99,cozy-normal-year,0,0,1,0,1,1,0,0,0,0.7460894881760066,239.68608794748133
100,cozy-normal-year,0,0,1,1,0,1,0,0,1,0.7208796190038228,35.372943019679845
101,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.6171305515859574,56.75200188558391
102,cozy-normal-year,1,1,1,0,0,1,1,0,0,0.6966725761610656,21.068746097418526
103,cozy-normal-year,1,1,1,1,0,0,0,0,0,0.6494552921708433,36.914520543686116
104,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.5698380784143967,20.282553908561813
105,cozy-normal-year,1,1,1,0,0,0,0,0,0,0.6139274968241698,28.22289423439551
106,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.5263674181782362,16.83068827678041
107,cozy-normal-year,1,1,1,0,1,1,1,0,1,0.7253983256647062,26.08941078334333
108,cozy-normal-year,1,1,1,0,1,1,0,0,0,0.5858718796030762,20.300905405230555
109,cozy-normal-year,1,1,1,0,1,0,1,0,0,0.6229923433463708,11.271327897171213
110,cozy-normal-year,1,1,1,0,0,1,1,0,0,0.8227477486563761,23.470133150755732
111,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.6014771544786077,17.901944024676688
112,cozy-normal-year,1,0,1,1,0,0,0,0,1,0.5925790408678291,27.72937814116929
113,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.6682636855482199,17.920653433386946
114,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.5901966462723299,43.57002315275073
115,cozy-normal-year,0,0,0,0,1,0,0,0,0,0.5856718551608501,
116,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.556480203601109,20.838096183733644
117,cozy-normal-year,1,0,1,1,0,1,0,1,1,0.6439382524996586,109.05791156495563
118,cozy-normal-year,1,0,0,1,0,0,0,0,1,0.4884556126254792,
119,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.7246766100431618,76.59967052708681
120,cozy-normal-year,0,0,1,1,0,1,0,0,0,0.571326685293297,135.47251605509024
121,cozy-normal-year,0,0,1,1,0,1,0,0,0,0.5437641911770965,87.43236981068762
122,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.7790571385933339,22.132481519543227
123,cozy-normal-year,1,1,1,1,1,1,1,0,0,0.6238481388374951,36.18065181558642
124,cozy-normal-year,1,1,1,1,0,1,0,0,0,0.6837687827665916,22.69229209080155
125,cozy-normal-year,0,0,1,0,1,0,0,0,0,0.734542584664823,15.989160618399227
126,cozy-normal-year,1,0,0,1,0,1,0,0,0,0.6845155534235143,
127,cozy-normal-year,0,0,0,0,0,1,0,0,0,0.5587345750635766,
128,cozy-normal-year,1,0,0,0,0,1,0,0,0,0.6360215861303439,
129,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6108318948545122,64.37638812998645
130,cozy-normal-year,1,1,1,1,0,0,1,0,1,0.6716807897539806,26.88240673867248
131,cozy-normal-year,1,1,1,1,1,0,1,0,0,0.6274400206811327,43.49806444075883
132,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6646445950109806,13.742325292663605
133,cozy-normal-year,1,1,1,0,0,1,1,0,0,0.6581128654007771,28.51465818752691
134,cozy-normal-year,1,1,1,0,1,1,1,0,0,0.5971500304424225,43.81121559034071
135,cozy-normal-year,0,0,1,1,0,1,0,0,0,0.5800139494018688,45.88064556259037
136,cozy-normal-year,1,1,1,1,1,1,1,0,0,0.6126773828862463,24.75725636688159
137,cozy-normal-year,1,1,1,0,1,0,1,0,0,0.7284544364136633,96.40058695686086
138,cozy-normal-year,1,1,1,0,0,1,1,0,0,0.6920113420973701,26.63668902941677
139,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.5846693864310685,21.549455952389216
140,cozy-normal-year,1,0,0,1,0,0,0,0,0,0.6772204804753902,
141,cozy-normal-year,0,0,1,1,0,1,0,0,0,0.6603918996644731,84.53144116487992
142,cozy-normal-year,1,1,1,0,1,1,1,0,0,0.65165283774946,20.546851844765367
143,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6340394268859395,44.00054624220453
144,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.5331263935755325,33.17630131786728
145,cozy-normal-year,1,1,1,0,1,0,1,0,0,0.6009422854850939,46.49337340929412
146,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.5807756754799341,35.58933277048732
147,cozy-normal-year,1,0,0,1,0,1,0,0,1,0.5401955628737364,
148,cozy-normal-year,1,0,1,1,0,0,0,0,1,0.6494768937444257,27.299912494835976
149,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.6079828600247407,24.69639978410381
150,cozy-normal-year,1,1,1,0,1,0,1,0,0,0.7326376938779058,16.025611662176726
151,cozy-normal-year,1,0,1,1,0,1,0,0,0,0.5854710290300312,66.96561828648738
152,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6947415149468935,52.32639399918515
153,cozy-normal-year,1,1,1,0,1,0,1,0,0,0.5824961205725487,185.7930460785791
154,cozy-normal-year,1,1,1,1,0,0,1,0,1,0.5222201873122319,16.52207265650925
155,cozy-normal-year,1,1,1,0,0,0,0,0,1,0.8332618615820058,29.096227038289427
156,cozy-normal-year,1,0,0,1,1,0,0,0,1,0.659379603112418,
157,cozy-normal-year,1,0,1,0,1,1,0,0,0,0.6529479346303269,10.108407897225028
158,cozy-normal-year,1,0,0,1,0,0,0,0,0,0.6203211788806254,
159,cozy-normal-year,1,1,1,0,0,1,0,0,0,0.6058805680299824,45.65524326696617
160,cozy-normal-year,1,1,1,1,1,1,1,0,0,0.6909555018283391,61.37131400551225
161,cozy-normal-year,1,0,1,0,0,1,0,0,1,0.569246498102626,102.29724809825858
162,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.6213019675200424,10.772477204845899
163,cozy-normal-year,0,0,0,1,0,0,0,0,0,0.5313442209287753,
164,cozy-normal-year,0,0,1,0,1,1,0,0,0,0.6149199196312433,338.1622821472531
165,cozy-normal-year,0,0,0,1,0,1,0,0,0,0.6799137392208426,
166,cozy-normal-year,1,1,1,1,0,1,1,0,1,0.6378705765622906,9.503306282363216
167,cozy-normal-year,1,1,1,1,0,1,1,0,0,0.5644899376723707,12.890775911117059
168,cozy-normal-year,1,1,1,1,1,0,1,0,1,0.6086296110313172,30.58642940171019
169,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.7195463034785237,34.09842705422067
170,cozy-normal-year,1,0,1,1,0,0,0,0,0,0.6269951638629808,25.459487526198746
171,cozy-normal-year,1,1,1,1,1,0,1,0,1,0.7763784660295191,24.30099194648399
172,cozy-normal-year,1,1,1,0,0,1,0,0,0,0.6790109537136356,238.5565010317108
173,cozy-normal-year,1,1,1,0,0,0,1,0,0,0.5464359484303358,44.00847178837894
174,cozy-normal-year,1,0,1,0,0,0,0,0,0,0.7491322217588787,32.53382704868422
175,cozy-normal-year,1,1,1,1,0,0,1,0,0,0.5870622035211821,89.03359624964362
176,cozy-normal-year,0,0,0,0,0,0,0,0,0,0.6816156088284483,
177,cozy-normal-year,1,1,1,1,0,1,1,0,1,0.6588192524626121,41.336471874651515
178,cozy-normal-year,1,0,1,1,0,0,0,0,0,0.7037467171247759,79.96103909685698
179,cozy-normal-year,1,1,1,1,1,1,1,0,0,0.6272139504052897,23.052155324001014
180,cozy-normal-year,1,0,0,1,0,0,0,0,1,0.6748440714680431,
