sample_id,scenario,true_mode,estimated_mode,ESS,true_P,est_P,ci95_low_P,ci95_high_P,true_M,est_M,ci95_low_M,ci95_high_M,true_V,est_V,ci95_low_V,ci95_high_V,true_C,est_C,ci95_low_C,ci95_high_C,true_E,est_E,ci95_low_E,ci95_high_E,true_F,est_F,ci95_low_F,ci95_high_F,true_R,est_R
1,cozy-normal-year,Normal,Normal,2458.330581106569,0.78,0.6235353642809768,0.4196855352970577,0.828139534197261,0.68,0.6182134260395141,0.41118164540819735,0.8272502727051181,0.88,0.8273082791724865,0.6601512753131276,0.99,0.7,0.6352868023408105,0.4094262521504527,0.8647924140541454,0.36,0.33510114841880995,0.09797671424536453,0.5769307578878982,0.14,0.19409986799328405,0.03755719739462543,0.35076216536620386,0.724,0.6513484058162221
2,cozy-normal-year,Busy,Normal,3319.5784376798547,0.7787329168610998,0.5939975053922758,0.38826929039621766,0.7939397747422433,0.6720575061565991,0.6350668771028547,0.4451891664922435,0.8278296452968897,0.88282527235264,0.8459459769327858,0.6852666225903612,0.9870468221788288,0.7058030955697311,0.661312160037864,0.44738180884683176,0.8743011325316313,0.34107281234841175,0.3451951689389747,0.11616656246414739,0.5830369485839247,0.14478761339169036,0.17798528909853795,0.031388794881475925,0.3329952463152645,0.7207190993549889,0.6608583509123722
3,cozy-normal-year,Busy,Busy,1304.0793806095546,0.7676468191371334,0.6050148799192283,0.4122763272341396,0.803352665307532,0.6683567429192998,0.6008541258435705,0.42080559390579764,0.7823112234269706,0.8822472999049269,0.8315664523988648,0.6720587176244848,0.975353502033087,0.7120189859536598,0.6383120920227574,0.41138878883659774,0.8538585243346456,0.36207104113130745,0.3212756349598656,0.09700063019615156,0.5467602616395845,0.15056662288165107,0.1947070661985095,0.05726473755153746,0.3430805455059335,0.7204092631443587,0.6434290482755021
4,cozy-normal-year,Normal,Normal,3154.27052265072,0.7716134827784935,0.6116381543055157,0.4256997032993811,0.7997097429622074,0.665787747191024,0.6003342581628077,0.42755921508949757,0.7805970908069533,0.8796245771209653,0.834684291868491,0.683384987662365,0.9753855202600419,0.7230926263336225,0.648187510381196,0.4339116917717607,0.8471975898329018,0.3669933592813626,0.3386598354568342,0.11550249493873792,0.5523950905882563,0.1486372851231076,0.1858806727219728,0.047756049263139,0.33138778873382174,0.7224626403440966,0.6494898069784387
5,cozy-normal-year,Normal,Normal,4823.951220825462,0.7980600261025121,0.6284492957341612,0.4487658786741549,0.8102603879200546,0.6688268326228628,0.6028443718179861,0.4377688221783551,0.7765793630394047,0.8732443528917845,0.8328180518086282,0.686522118953984,0.9718413290087798,0.7188836472102973,0.6540213868271119,0.44453705739303373,0.8540929158500323,0.35954553886014085,0.3369982643120797,0.1199081858719161,0.5463633375506973,0.15282359990403147,0.18729805895986917,0.05604617563932086,0.32807426121599387,0.7247954162703847,0.6533790016190508
6,cozy-normal-year,Normal,Normal,2898.17724435313,0.7913272200640773,0.651290485192884,0.47704659037698294,0.8260511128245472,0.6479004133150591,0.5915007843170559,0.43244658575038475,0.7578934843735609,0.8625273818474257,0.8197230553909849,0.6757924257971296,0.9600049947352903,0.7224327105212831,0.6505576571563942,0.4319847379831212,0.8524450509702144,0.3547052453880206,0.3449989276041994,0.13114638053069727,0.5503722608017542,0.17232042717345408,0.19635269725851884,0.06473330253121894,0.33415813632913655,0.7142942472685261,0.6514559319478133
7,cozy-normal-year,Normal,Normal,4623.40754749809,0.7896204576521337,0.6501602442776888,0.48251242991067245,0.8171424372272106,0.667369282036797,0.6075214672413435,0.45131874405804684,0.7722018231195621,0.8771669255885767,0.8228746694974957,0.6870766658622306,0.9585135460597138,0.7342228980199161,0.6716521416624904,0.47437785864118126,0.8638983516717603,0.35462404755119503,0.3537353845272395,0.14325369829126972,0.5590432896190212,0.14211769213127923,0.1908067657777204,0.06460022014990689,0.32466499088709655,0.7266799277049887,0.6607787030660418
8,cozy-normal-year,Busy,Busy,1834.2066915342562,0.7968521118711298,0.6442552980383173,0.47729971386122977,0.8012211900750176,0.6497274862912259,0.5984183803622372,0.44854688608001664,0.7528506208745391,0.8759705886652761,0.8246111029502856,0.696060842394178,0.9576409400020299,0.7376894190348721,0.6685760044642426,0.47462615887981885,0.8547834430279975,0.35779091284674325,0.34374866840726803,0.140475351480299,0.5480671163137681,0.1573239769677774,0.18934923281955637,0.06651156072574475,0.3211323543910255,0.7227142792046086,0.6563423602846361
9,cozy-normal-year,Normal,Normal,3281.5305161352494,0.7934849435341438,0.6524147123731595,0.49384326240657495,0.8079949553963912,0.6639899697572549,0.6116135073332502,0.4618638191195419,0.7668079473527373,0.8788504661671573,0.8274905683614864,0.7024136047260385,0.9561747648929689,0.7258262356516822,0.6818205653775977,0.5003804318999218,0.8658280729301738,0.3552615453825574,0.36628523705204924,0.16397612250770893,0.5671633633211873,0.15169143019882883,0.1821637079922434,0.05980154344339499,0.3078392420949492,0.7246367001853588,0.6670024344696952
10,cozy-normal-year,Normal,Normal,4831.87673970629,0.7893556440128152,0.666749946534106,0.5132814728497335,0.815112205502132,0.6476626886642085,0.6201163781323232,0.47197239295070215,0.7717222695497472,0.8718603375827558,0.8340993780978256,0.7117177353297647,0.9576186401047894,0.7261714990145078,0.6879546197011785,0.5058779624944391,0.8669432082858656,0.38518259484840994,0.3669021323276448,0.16937613373738156,0.5618095014121742,0.1637723889306373,0.1786788822267067,0.058410427294938616,0.3022652717328282,0.7205520419874927,0.6744280460143439
11,cozy-normal-year,Normal,Normal,3834.0540988841203,0.7765707067466974,0.6634524448526317,0.5182275468389068,0.8067756480080094,0.6404641845018503,0.6321013332522969,0.4875642022635541,0.7803547493069175,0.8715354516353405,0.8413462655821354,0.719933943624831,0.9628250374782439,0.7373713154846309,0.6975508775631314,0.5196081523702804,0.8729215727106715,0.3918896029607809,0.36911530845388507,0.17183783258185423,0.5602341274193643,0.16732420346942717,0.17146576585163747,0.05496050821889572,0.29417426759636267,0.7185607101232203,0.6807802742578396
12,cozy-normal-year,Normal,Normal,3055.876579005162,0.8046429810448933,0.67796940843912,0.5369520461470766,0.8144117127565055,0.6233476674618383,0.6363891735195901,0.49669104120432306,0.7769841360179385,0.8849802283712899,0.8399165092680434,0.7193566657337356,0.9592314872468038,0.7327819692038726,0.6995141276619673,0.5265016404804184,0.8706998539696122,0.40025730752340544,0.3789288913010701,0.18573121554178304,0.5702592559309375,0.18005643005333247,0.16963139950291262,0.05329294977930289,0.28981217238270324,0.7209364750226593,0.6857563872712891
13,cozy-normal-year,Normal,Normal,4876.811501548253,0.8015132380220935,0.6737333796035881,0.5367678234057147,0.8088696451107763,0.6272980850370528,0.632104020600314,0.4941258540088968,0.7669175087581906,0.8894765696006836,0.8425142638067421,0.7234915249267817,0.9588740702531691,0.7212559612199552,0.7076764497930318,0.5397456253703462,0.8730253994888603,0.3816911904598803,0.3932360860747651,0.20385601267637532,0.5856081203671101,0.1802497866793019,0.1647903016445373,0.05125825758067926,0.28309865180010246,0.7183542241012262,0.6878060375107283
